FK_Name|ParentTable|ParentColumn|ReferencedTable|ReferencedColumn
DocumentTypeRole_DocumentType|tblDocumentTypeRole|DocumentTypeId|tluDocumentType|DocumentTypeId
FK_DocumentTypeRole_SecurityRole|tblDocumentTypeRole|RoleId|tblSecurityRole|SecurityRoleId
FK_DocumentTypeRole_User|tblDocumentTypeRole|ModifiedUser|tblUser|UserId
FK_tblEmail_tblEntity|tblEmail|EntityId|tblEntity|EntityId
EmailBatchUser|tblEmailBatch|UserId|tblUser|UserId
FK_tblEmailBatch_EmailTemplateId_tblEmailTemplate_EmailTemplateId|tblEmailBatch|EmailTemplateId|tblEmailTemplate|EmailTemplateId
FK_tblEmailBatchRecipient_EmailBatchId_tblEmailBatch_EmailBatchId|tblEmailBatchRecipient|EmailBatchId|tblEmailBatch|EmailBatchId
FK_tblEmailBatchRecipient_EmailId_tblEmail_EmailId|tblEmailBatchRecipient|EmailId|tblEmail|EmailId
FK_tblEmailBatchRecipient_PersonId_tblPerson_PersonId|tblEmailBatchRecipient|PersonId|tblPerson|PersonId
FK_EmailChange_aspnet_Users|tblEmailChange|UserId|aspnet_Users|UserId
FK_EmailMessage_EmailSendStatusType|tblEmailMessage|EmailSendStatusTypeId|tblEmailSendStatusType|EmailSendStatusTypeId
FK_EmailMessage_Entity|tblEmailMessage|RecipientEntityId|tblEntity|EntityId
FK_EmailMessage_UserId|tblEmailMessage|RecipientUserId|tblUser|UserId
FK_tblEmailMessage_tblEmailTemplate|tblEmailMessage|EmailTemplateId|tblEmailTemplate|EmailTemplateId
FK_EmailMessageAttachment_EmailMessage|tblEmailMessageAttachment|EmailMessageId|tblEmailMessage|EmailMessageId
FK_EmailMessageAttachment_StoredFile|tblEmailMessageAttachment|StoredFileId|tblStoredFile|StoredFileId
FK_EmailSendStatusType_User|tblEmailSendStatusType|ModifiedUser|tblUser|UserId
FK_EmailTemplate_User|tblEmailTemplate|ModifiedUser|tblUser|UserId
FK_EmailTemplateDetailType_User|tblEmailTemplateDetailType|ModifiedUser|tblUser|UserId
FK_EndorsedQualification_CredentialType|tblEndorsedQualification|CredentialTypeId|tblCredentialType|CredentialTypeId
FK_EndorsedQualification_Institution|tblEndorsedQualification|InstitutionId|tblInstitution|InstitutionId
FK_EntityNote_Entity|tblEntityNote|EntityId|tblEntity|EntityId
FK_EntityNote_Note|tblEntityNote|NoteId|tblNote|NoteId
FK_ExaminerMarking_JobExaminer|tblExaminerMarking|JobExaminerID|tblJobExaminer|JobExaminerID
FK_ExaminerStatusType_User|tblExaminerStatusType|ModifiedUser|tblUser|UserId
FK_ExaminerTestComponentResult_ExaminerMarking|tblExaminerTestComponentResult|ExaminerMarkingID|tblExaminerMarking|ExaminerMarkingID
FK_ExaminerTestComponentResult_tblExaminerMarking|tblExaminerTestComponentResult|ExaminerMarkingID|tblExaminerMarking|ExaminerMarkingID
FK_ExaminerTestComponentResult_TestComponentType|tblExaminerTestComponentResult|TypeID|tblTestComponentType|TestComponentTypeId
FK_tblExperience_tblEntity|tblExperience|EntityId|tblEntity|EntityId
FK_ExperienceOption_User|tblExperienceOption|ModifiedUser|tblUser|UserId
FK_ExternalAccountingOperation_ExternalAccountingOperationStatus|tblExternalAccountingOperation|StatusId|tluExternalAccountingOperationStatus|ExternalAccountingOperationStatusId
FK_ExternalAccountingOperation_ExternalAccountingOperationType|tblExternalAccountingOperation|TypeId|tluExternalAccountingOperationType|ExternalAccountingOperationTypeId
FK_ExternalAccountingOperation_User|tblExternalAccountingOperation|RequestedByUserId|tblUser|UserId
