TABLE_SCHEMA|TABLE_NAME
dbo|tblRolePlayerTestLocation
dbo|tblRubricAssessementCriterionResult
dbo|tblRubricMarkingAssessmentCriterion
dbo|tblRubricMarkingBand
dbo|tblRubricMarkingCompetency
dbo|tblRubricQuestionPassRule
dbo|tblRubricTestBandRule
dbo|tblRubricTestComponentResult
dbo|tblRubricTestQuestionRule
dbo|tblSecurityNoun
dbo|tblSecurityRole
dbo|tblSecurityRule
dbo|tblService
dbo|tblServiceOption
dbo|tblSkill
dbo|tblSkillApplicationType
dbo|tblSkillType
dbo|tblStoredFile
dbo|tblStoredFileDeletePolicy
dbo|tblStoredFileDeletePolicyDocumentType
dbo|tblStoredFileStatusType
dbo|tblSubmitTestDraft
dbo|tblSubmitTestDraftAttachment
dbo|tblSubmitTestDraftComponent
dbo|tblSuburb
dbo|tblSystemActionEmailTemplate
dbo|tblSystemActionEmailTemplateDetail
dbo|tblSystemActionEventType
dbo|tblSystemActionType
dbo|tblSystemParameter
dbo|tblSystemValue
dbo|tblTableData
dbo|tblTestComponent
dbo|tblTestComponentBaseType
dbo|tblTestComponentResult
dbo|tblTestComponentType
dbo|tblTestComponentTypeStandardMarkingScheme
dbo|tblTestLocation
dbo|tblTestMaterial
dbo|tblTestMaterialAttachment
dbo|tblTestMaterialDomain
dbo|tblTestMaterialLink
dbo|tblTestMaterialLinkType
dbo|tblTestMaterialType
dbo|tblTestResult
dbo|tblTestResult_Backup_20250807_044842
dbo|tblTestResult_Backup_20250807_045331
dbo|tblTestResult_Backup_20250807_054120
dbo|tblTestResult_Backup_20250807_054533
dbo|tblTestResult_Backup_20250807_055252
dbo|tblTestResult_Backup_20250807_055314
dbo|tblTestResult_Backup_20250807_060300
dbo|tblTestResult_Backup_20250807_060312
dbo|tblTestResultEligibilityType
dbo|tblTestResultRubricTestComponentResult
dbo|tblTestResultRubricTestComponentResult_Backup_20250807_054533
dbo|tblTestResultRubricTestComponentResult_Backup_20250807_055252
dbo|tblTestResultRubricTestComponentResult_Backup_20250807_055314
dbo|tblTestResultRubricTestComponentResult_Backup_20250807_060300
dbo|tblTestResultRubricTestComponentResult_Backup_20250807_060312
dbo|tblTestSession
dbo|tblTestSessionRolePlayer
dbo|tblTestSessionRolePlayerDetail
dbo|tblTestSessionSkill
dbo|tblTestSitting
dbo|tblTestSittingDocument
dbo|tblTestSittingNote
dbo|tblTestSittingTestMaterial
dbo|tblTestSpecification
dbo|tblTestSpecificationAttachment
dbo|tblTestSpecificationStandardMarkingScheme
dbo|tblTestSpecificationTestComponentType
dbo|tblTestStatusType
dbo|tblUser
dbo|tblUserRole
dbo|tblUserSearch
dbo|tblVenue
dbo|tblWorkPractice
dbo|tblWorkPracticeAttachment
dbo|tblWorkPracticeCredentialRequest
dbo|tluAccessDisabledType
dbo|tluAuditType
dbo|tluDocumentType
dbo|tluEFTMachine
dbo|tluExternalAccountingOperationStatus
dbo|tluExternalAccountingOperationType
dbo|tluJobType
dbo|tluPanelType
dbo|tluPayrollStatus
dbo|tluPermission
dbo|tluProductCategory
dbo|tluProductType
dbo|tluRegion
dbo|tluResultType
dbo|tluState
dbo|tluTitle
dbo|Users
dbo|VersionInfo
HangFire|AggregatedCounter
HangFire|Counter
HangFire|Hash
HangFire|Job
HangFire|JobParameter
HangFire|JobQueue
HangFire|List
HangFire|Schema
HangFire|Server
HangFire|Set
HangFire|State
MyNaatiHangFire|AggregatedCounter
MyNaatiHangFire|Counter
MyNaatiHangFire|Hash
MyNaatiHangFire|Job
MyNaatiHangFire|JobParameter
MyNaatiHangFire|JobQueue
MyNaatiHangFire|List
MyNaatiHangFire|Schema
MyNaatiHangFire|Server
MyNaatiHangFire|Set
MyNaatiHangFire|State

(348 rows affected)
